name,region
other_sql:yugabytedb:,hk
other_sql:yugabytedb:,sg
postgresql:accounting,hk
postgresql:accounting,sg
postgresql:airboard_ng_api,alihk
postgresql:airboard_ng_api,sg
postgresql:airboardngauth,sg
postgresql:airboardngworkflowservice,hk
postgresql:airwallexpayclearing,sg
postgresql:airwallexpayservice,hk
postgresql:airwallexpayservice,sg
postgresql:amazonpaymentproviderservice,hk
postgresql:amazonpsppenrollment,hk
postgresql:amazonpsppenrollment,sg
postgresql:appbankaccountverificationservice,hk
postgresql:appbankaccountverificationservice,sg
postgresql:appcreditvalidationservice,hk
postgresql:appdirectdebitservice,hk
postgresql:appdirectdebitservice,sg
postgresql:appinternaltreasury,sg
postgresql:appliquidityforecast,sg
postgresql:appmhtreasuryservice,hk
postgresql:appmhtreasuryservice,sg
postgresql:appvalidationservice,sg
postgresql:authapi,hk
postgresql:authapi,sg
postgresql:authorisation,alihk
postgresql:authorisation,hk
postgresql:authorisation,nl
postgresql:authorisation,sg
postgresql:authorisation,us
postgresql:awx_scale,sg
postgresql:balancenotification,hk
postgresql:balancenotification,sg
postgresql:bankaccountvalidationservice,hk
postgresql:bankfeedsintegration,hk
postgresql:batchpayments,hk
postgresql:batchpayments,sg
postgresql:billing,hk
postgresql:billing,sg
postgresql:billing_config,hk
postgresql:billing_config,sg
postgresql:billpay,hk
postgresql:billpay,sg
postgresql:campaignservice,hk
postgresql:campaignservice,sg
postgresql:categorization,hk
postgresql:categorization,sg
postgresql:chinapay,hk
postgresql:client_ledger,hk
postgresql:client_ledger,sg
postgresql:client_ledger,unknown
postgresql:client_wallet_v3,hk
postgresql:client_wallet_v3,sg
postgresql:clientbankaccountservice,hk
postgresql:clientbankaccountservice,sg
postgresql:compliance,alihk
postgresql:compliance,nl
postgresql:compliance,sg
postgresql:compliance,us
postgresql:conversions,hk
postgresql:conversions,unknown
postgresql:creditadvice,hk
postgresql:creditadvice,sg
postgresql:currencycloud,hk
postgresql:customaccountingdata,hk
postgresql:customaccountingdata,sg
postgresql:depositservice,hk
postgresql:depositservice,sg
postgresql:draftprocessing,hk
postgresql:draftprocessing,sg
postgresql:ecommercedataservice,hk
postgresql:ecosystemappservice,hk
postgresql:enrollment,hk
postgresql:enrollment,sg
postgresql:entrepots,unknown
postgresql:et_awx_ocs,hk
postgresql:et_awx_ocs,sg
postgresql:expenses,hk
postgresql:expenses,sg
postgresql:extraction,hk
postgresql:extraction,sg
postgresql:fee_engine,hk
postgresql:fee_engine,sg
postgresql:financialinfra,sg
postgresql:financialtransaction,hk
postgresql:financialtransaction,nl
postgresql:financialtransaction,sg
postgresql:fraudcase,hk
postgresql:fraudcase,nl
postgresql:fraudcase,sg
postgresql:fraudcase,us
postgresql:fraudmanagement,hk
postgresql:fraudmanagement,nl
postgresql:fraudmanagement,sg
postgresql:fraudmanagement,us
postgresql:fundingsourceservice,hk
postgresql:fundingsourceservice,sg
postgresql:fx_dashboard_api,hk
postgresql:fx_dashboard_api,unknown
postgresql:fxorders,hk
postgresql:fxorders,unknown
postgresql:fxsettlement,hk
postgresql:fxsettlement,unknown
postgresql:getpaidinvoice,hk
postgresql:getpaidinvoice,nl
postgresql:getpaidinvoice,sg
postgresql:getpaidinvoice,us
postgresql:getpaidinvoicepayment,hk
postgresql:getpaidinvoicepayment,nl
postgresql:getpaidinvoicepayment,sg
postgresql:getpaidinvoicepayment,us
postgresql:getpaidmerchantproduct,hk
postgresql:getpaidmerchantproduct,nl
postgresql:getpaidmerchantproduct,sg
postgresql:getpaidmerchantproduct,us
postgresql:getpaidsubscription,hk
postgresql:getpaidsubscription,nl
postgresql:getpaidsubscription,sg
postgresql:getpaidsubscription,us
postgresql:gtpnnotificationservice,hk
postgresql:gtpnnotificationservice,sg
postgresql:gtpntransferservice,hk
postgresql:gtpntransferservice,sg
postgresql:hubspotintegrationservice,hk
postgresql:hubspotintegrationservice,sg
postgresql:idverification,hk
postgresql:inboundgateway,hk
postgresql:inboundgateway,sg
postgresql:individualkyc,hk
postgresql:individualkyc,sg
postgresql:industrycategoryservice,hk
postgresql:industrycategoryservice,sg
postgresql:integrationsauthmanagement,hk
postgresql:integrationsauthmanagement,sg
postgresql:iss-authorization-service,sg
postgresql:iss-authorization-service,us
postgresql:iss-dtoken-service,sg
postgresql:iss-dtoken-service,us
postgresql:iss-pci-authorization-service,sg
postgresql:iss-pci-authorization-service,us
postgresql:iss-reconciliation-service,us
postgresql:iss-remote-auth-service,sg
postgresql:iss-remote-auth-service,us
postgresql:iss-transaction-views-service,sg
postgresql:iss-transaction-views-service,us
postgresql:iss3dsservice,sg
postgresql:iss3dsservice,us
postgresql:isscardholderservice,sg
postgresql:isscardholderservice,us
postgresql:isscardservice,sg
postgresql:isscardservice,us
postgresql:isspcicardmgt,sg
postgresql:isspcicardservice,sg
postgresql:isspcicardservice,us
postgresql:isspcitokenmapperservice,sg
postgresql:isspcitokenmapperservice,us
postgresql:issreissueservice,sg
postgresql:issreissueservice,us
postgresql:issremotecallgateway,us
postgresql:issriskengine,sg
postgresql:issriskengine,us
postgresql:isstransactionviewsservice,sg
postgresql:isstransactionviewsservice,us
postgresql:issvauservice,us
postgresql:lendingservice,hk
postgresql:lendingservice,sg
postgresql:lhv,hk
postgresql:loanservice,hk
postgresql:loanservice,sg
postgresql:midas,hk
postgresql:midas,sg
postgresql:mlmetricplatform,hk
postgresql:mlmetricplatform,nl
postgresql:mlmetricplatform,sg
postgresql:mlmetricplatform,us
postgresql:moneyhouseservice,hk
postgresql:moneyhouseservice,sg
postgresql:moneyhouseservice,unknown
postgresql:netsuiteauth,hk
postgresql:oauthservice,hk
postgresql:oauthservice,sg
postgresql:onboardingservice,hk
postgresql:onboardingservice,sg
postgresql:onlinepaymentfeedsservice,hk
postgresql:orderaggregation,hk
postgresql:orderaggregation,sg
postgresql:pa_adaptor,hk
postgresql:pa_adaptor,nl
postgresql:pa_adaptor,sg
postgresql:pa_adaptor_alipay,hk
postgresql:pa_adaptor_alipay,nl
postgresql:pa_adaptor_alipay,sg
postgresql:pa_adaptor_alipay,us
postgresql:pa_adaptor_mastercard,hk
postgresql:pa_adaptor_mastercard,nl
postgresql:pa_adaptor_mastercard,sg
postgresql:pa_adaptor_valitor,nl
postgresql:pa_adaptor_visa,hk
postgresql:pa_adaptor_visa,nl
postgresql:pa_adaptor_visa,sg
postgresql:pa_core,hk
postgresql:pa_core,nl
postgresql:pa_core,sg
postgresql:pa_core,us
postgresql:pa_customs_declaration,hk
postgresql:pa_customs_declaration,nl
postgresql:pa_customs_declaration,sg
postgresql:pa_dispute,hk
postgresql:pa_dispute,nl
postgresql:pa_dispute,sg
postgresql:pa_dispute,us
postgresql:pa_event,hk
postgresql:pa_event,nl
postgresql:pa_event,sg
postgresql:pa_event,us
postgresql:pa_executor,hk
postgresql:pa_executor,nl
postgresql:pa_executor,sg
postgresql:pa_executor,us
postgresql:pa_fusion,hk
postgresql:pa_fusion,nl
postgresql:pa_fusion,sg
postgresql:pa_fusion,us
postgresql:pa_pci_account_range,hk
postgresql:pa_pci_account_range,nl
postgresql:pa_pci_account_range,sg
postgresql:pa_pci_account_range,us
postgresql:pa_pci_adaptor_mastercard,hk
postgresql:pa_pci_adaptor_mastercard,nl
postgresql:pa_pci_adaptor_mastercard,sg
postgresql:pa_pci_adaptor_valitor,nl
postgresql:pa_pci_adaptor_visa,hk
postgresql:pa_pci_adaptor_visa,nl
