name,region
kafka:aggregator-v2-fx.execution.aggregator.state-changelog,unknown
kafka:aliyun_hk_prod.gtpn.client_bank_account.linked_bank_account_lifecycle.0,hk
kafka:aliyun_hk_prod.gtpn.proxy_collection_lifecycle.credit.0,hk
kafka:aliyun_hk_prod.gtpn.proxy_collection_lifecycle.refund.0,unknown
kafka:aliyun_hk_prod.gtpn.rails_api_gateway.rebalance_status_update_event.0,hk
kafka:aliyun_hk_prod.gtpn.rails_api_gateway.remittance_status_update_event.0,hk
kafka:aliyun_hk_prod.notification.events,hk
kafka:aliyun_hk_prod.platform.account_service.account_domain_events.0,alihk
kafka:aliyun_hk_prod.platform.account_service.account_domain_events.1,alihk
kafka:aliyun_hk_prod.platform.account_service.client_legal_entity_domain_events.0,alihk
kafka:aliyun_hk_prod.scale.rfi_service.rfi_session_domain_event,hk
kafka:aliyun_hk_prod.scale.task_banner.events,alihk
kafka:aliyun_hk_prod.scale.task_banner.events,hk
kafka:aliyun_hk_prod_account_service_user_profile_change,alihk
kafka:aliyun_hk_prod_core_banking_balance_activity_events,hk
kafka:aliyun_hk_prod_core_banking_cw3_balance_activity_events,hk
kafka:aliyun_hk_prod_core_banking_order_search_documents,hk
kafka:aliyun_hk_prod_gtpn_payout_created_event,hk
kafka:aliyun_hk_prod_gtpn_transaction_events,hk
kafka:aliyun_hk_prod_gtpn_transaction_submit_event,hk
kafka:aliyun_hk_prod_midas_record_topic,hk
kafka:aliyun_hk_prod_order_aggregation_order_events,hk
kafka:aliyun_hk_prod_rfi_domain_event,hk
kafka:awx-client-position-blotter-client-position-store-changelog,unknown
kafka:awx-client-position-blotter-client-position-store-repartition,unknown
kafka:awx-conversion-monitor-debezium-pending-conversion-event-store-changelog,hk
kafka:awx-conversion-monitor-debezium-unsettled-conversion-event-store-changelog,hk
kafka:awx-daily-entrepot-position-keeper-daily-entrepot-position-store-changelog,unknown
kafka:awx-daily-entrepot-position-keeper-daily-entrepot-position-store-repartition,unknown
kafka:awx-entrepot-keeper-entrepot-position-store-changelog,unknown
kafka:awx-hedger-rebuild-aggregation-replay-store-changelog,unknown
kafka:awx-hedger-rebuild-aggregation-replay-store-repartition,unknown
kafka:awx-ledger-feed-aggregation-store-changelog,unknown
kafka:awx-ledger-feed-client-trade-store-changelog,unknown
kafka:awx-ledger-feed-entrepot-trade-store-changelog,unknown
kafka:awx-ledger-feed-execution-store-changelog,unknown
kafka:awx-ledger-feed-trade-store-changelog,unknown
kafka:awx-net-position-stream-v2-net-position-store-changelog,unknown
kafka:awx-net-position-stream-v2-net-position-store-repartition,unknown
kafka:awx-risk-position-blotter-risk-position-store-v2-changelog,unknown
kafka:awx-risk-position-blotter-risk-position-store-v2-repartition,unknown
kafka:awx-treasury-position-blotter-treasury-position-store-changelog,unknown
kafka:awx.airstream.events,unknown
kafka:awx.airstream.retention.events,unknown
kafka:awx.execution.aggregation.events,unknown
kafka:awx.execution.aggregation.events.remote,unknown
kafka:awx.execution.blotter.events,unknown
kafka:awx.execution.blotter.position.client,unknown
kafka:awx.execution.blotter.position.risk,unknown
kafka:awx.execution.client.trade.captured,hk
kafka:awx.execution.client.trade.captured,unknown
kafka:awx.execution.client.trade.captured.remote,unknown
kafka:awx.execution.entrepot.blotter.events,unknown
kafka:awx.execution.entrepot.blotter.raw.events,unknown
kafka:awx.execution.entrepot.daily.position.events,unknown
kafka:awx.execution.entrepot.payment.events,unknown
kafka:awx.execution.entrepot.position.events,unknown
kafka:awx.execution.entrepot.prekeyed.blotter.events,unknown
kafka:awx.execution.execution.events.remote,unknown
kafka:awx.execution.execution.events.remote.rekeyed,unknown
kafka:awx.execution.keyed.aggregation.events,unknown
kafka:awx.execution.keyed.client.trade.captured,unknown
kafka:awx.execution.keyed.entrepot.blotter.events,unknown
kafka:awx.execution.keyed.execution.events,unknown
kafka:awx.execution.keyed.position.adjustment,unknown
kafka:awx.execution.keyed.risk.order.status.events,unknown
kafka:awx.execution.keyed.trade.captured,unknown
kafka:awx.execution.keyed.trade.captured.entrepot,unknown
kafka:awx.execution.monitor.aggregation.summary.events,unknown
kafka:awx.execution.monitor.aggregation.summary.events.remote,unknown
kafka:awx.execution.monitor.keyed.aggregation.events,unknown
kafka:awx.execution.monitor.keyed.client.trade.captured,unknown
kafka:awx.execution.monitor.keyed.trade.captured,unknown
kafka:awx.execution.position.v2,unknown
kafka:awx.execution.trade.captured,unknown
kafka:awx.execution.trade.captured.all,unknown
kafka:awx.execution.trade.captured.entrepot,unknown
kafka:awx.execution.trade.captured.remote,unknown
kafka:awx.fx.apm.aggregated.spot.price,unknown
kafka:awx.fx.apm.calculated.spot.price,unknown
