name,region
account-settings-airboard,hk
account-settings-webapp,hk
account-settings-webapp,sg
account.AccountService,hk
account.AccountService,sg
accounting-jobs,hk
accounting-jobs,sg
accounting-oracle,hk
accounting-oracle,sg
accountingservice,hk
accountingservice,sg
accountingservice,unknown
addfundsgraphql,hk
addfundsgraphql,sg
address-service,sg
airboard-fraud-graphql,hk
airboard-fraud-graphql,nl
airboard-fraud-graphql,sg
airboard-fraud-graphql,us
airboard-ng-kyc-service,hk
airboard-ng-kyc-service,sg
airboard-ng-kyc-service,unknown
airboard-ng-panopticon-graphql,hk
airboard-ng-panopticon-graphql,sg
airboard-ng-rfi-service,hk
airboard-ng-rfi-service,sg
airboard-ng-scale-service,hk
airboard-ng-scale-service,unknown
airboard-ng-workflow-service,hk
airboard-risk-postmonitoring-graphql,hk
airboard-risk-postmonitoring-graphql,sg
airboard-rule-graphql,hk
airboardng-api,alihk
airboardng-api,sg
airwallex-airboard-ng-auth-graphql-server,hk
airwallex-airboard-ng-auth-graphql-server,sg
airwallex-compliance-tm-manager,alihk
airwallex-compliance-tm-manager,hk
airwallex-compliance-tm-manager,sg
airwallex-corpsite-cn-prod,hk
airwallex-corpsite-prod,hk
airwallex-corpsite-prod,sg
airwallex-developer-site,hk
airwallex-fileservice,alihk
airwallex-fileservice,sg
airwallex-product-docs,hk
airwallex-tm-case-management,alihk
airwallex-tm-case-management,sg
airwallexpayclearing,sg
airwallexpaygraphql,hk
airwallexpayservice,hk
airwallexpayservice,sg
ali-prod-hk-airstream-api,hk
ali-prod-hk-billing-center-publisher,hk
ali-prod-hk-conversion-api,hk
ali-prod-hk-conversion-monitor,hk
ali-prod-hk-conversion-processor,hk
ali-prod-hk-fx-dashboard-api,hk
ali-prod-hk-fx-order-graphql-api,hk
ali-prod-hk-gtpn-bridge,hk
ali-prod-hk-notification-engine,hk
ali-prod-hk-open-position-api,hk
ali-prod-hk-order-api,hk
ali-prod-hk-order-notifier,hk
ali-prod-hk-order-processor,hk
ali-prod-hk-order-triggerer,hk
ali-prod-hk-pricing-api,hk
ali-prod-hk-quote-api,hk
ali-prod-hk-settlement-api,hk
ali-prod-hk-timeseries-api,hk
ali-prod-hk-trading-api,hk
ali-prod-hk-wallet-event-listener,hk
ali-prod-tk-airstream-api,tk
ali-prod-tk-airstream-bridge,tk
ali-prod-tk-apm-spot-price-aggregator,tk
ali-prod-tk-apm-spot-price-calculator,tk
ali-prod-tk-entrepot-blotter-stream,tk
ali-prod-tk-entrepot-keeper,tk
ali-prod-tk-execution-monitor,tk
ali-prod-tk-execution-signaler,tk
ali-prod-tk-fx-dashboard-api,tk
ali-prod-tk-fx-event-demux,tk
ali-prod-tk-fx-trading-event-purifier,tk
ali-prod-tk-hedger,tk
ali-prod-tk-jsb-ct-adapter,tk
ali-prod-tk-ledger-feed,tk
ali-prod-tk-liquidity-engine,tk
ali-prod-tk-lp-price-publisher,tk
ali-prod-tk-notification-engine,tk
ali-prod-tk-position-adjustment-api,tk
ali-prod-tk-position-adjustment-generator,tk
ali-prod-tk-position-keeper,tk
ali-prod-tk-position-reconciliation-service,tk
ali-prod-tk-price-event-service,tk
ali-prod-tk-price-monitor,tk
ali-prod-tk-pricing-api,tk
ali-prod-tk-pricing-engine,tk
ali-prod-tk-quote-api,tk
ali-prod-tk-ref-rates-feed,tk
ali-prod-tk-ref-rates-feed-eu,tk
ali-prod-tk-risk-monitor,tk
ali-prod-tk-risk-order-api,tk
ali-prod-tk-timeseries-api,tk
ali-prod-tk-trade-event-service,tk
ali-prod-tk-trade-event-transformer,tk
ali-prod-tk-trading-api,tk
ali-prod-tk-visa-fx-adapter,tk
amazonpaymentproviderservice,hk
amazonpsppenrollment,hk
amazonpsppenrollment,sg
api-integrations-prod,hk
api-integrations-prod,sg
apiaggregator,hk
app-billing,hk
app-billing,sg
app-billing-api,hk
app-billing-api,sg
app-credit-validation-service,hk
app-internal-treasury,sg
app-liquidity-forecast,sg
app-midas-api,hk
app-midas-api,sg
app-midas4awx-api,hk
app-midas4awx-api,sg
app-mirror,sg
app-ocr-service,hk
app-ocr-service,sg
app-proteus,sg
app-reconciliation,alihk
app-reconciliation,sg
appairboardapiservice,hk
appairboardapiservice,sg
appbankaccountverificationservice,hk
appbankaccountverificationservice,sg
appbatchpaymentservice,hk
appbatchpaymentservice,sg
appclientapiservice,hk
appclientapiservice,sg
appdirectdebitservice,hk
appdirectdebitservice,sg
appdraftpaymentservice,hk
appdraftpaymentservice,sg
appmhtreasuryservice,hk
appmhtreasuryservice,sg
appplatformservice,hk
appplatformservice,sg
apprefdataservice,hk
approval-service,hk
approval-service,sg
approval.execution.v1.ApprovalExecutionService,hk
approval.execution.v1.ApprovalExecutionService,sg
approval.management.v1.ApprovalWorkflowConfigService,hk
approval.management.v1.ApprovalWorkflowConfigService,sg
approval.usertask.v1.ApprovalUserTaskService,hk
approval.usertask.v1.ApprovalUserTaskService,sg
apptencentrecon,alihk
apptransactionservice,hk
apptransactionservice,sg
appvalidationservice,sg
appwebappapiservice,hk
appwebappapiservice,sg
audienceservice,hk
audienceservice,sg
audit-log-service,hk
audit-log-service,sg
auth-api,hk
auth-api,sg
authorisation-service,hk
authorisation-service,sg
awx-account-service,alihk
awx-account-service,nl
awx-account-service,sg
awx-account-service,unknown
awx-account-service,us
awx-account-service-local,alihk
awx-account-service-local,sg
awx-account-service-ro,alihk
awx-account-service-ro,unknown
awx-account-service-ro-local,alihk
awx-account-service-ro-local,unknown
awx-account-service-rw,sg
awx-account-service-sg-ro,nl
awx-account-service-sg-ro,sg
awx-account-service-sg-ro,us
awx-configuration-service,hk
awx-configuration-service,nl
awx-configuration-service,sg
awx-configuration-service,us
awx-hosted-flow,hk
awx-panopticon,hk
awx-panopticon,sg
awx-panopticon-shadow,hk
awx-panopticon-shadow,sg
awxocsauth,hk
awxocsjob,hk
awxocsjob,sg
bankaccountvalidationservice,hk
bankaccountvalidationservice,sg
bankfeedsintegration,hk
bankfeedsintegration,sg
batchtransfersgraphql,hk
batchtransfersgraphql,sg
bill-pay-service-prod,hk
bill-pay-service-prod,sg
business-information-vendor-adaptor,hk
business-information-vendor-adaptor,sg
campaignservice,hk
campaignservice,sg
clearing-settlement-worker,hk
clearing-settlement-worker,sg
clientvbaservice,hk
clientvbaservice,sg
com.airwallex.corebanking.financialtransaction.grpc.FinancialTransactionRpc,hk
com.airwallex.corebanking.grpc.deposit.CoreBankingDepositRpc,hk
com.airwallex.corebanking.grpc.financialtransaction.rpc.FinancialTransactionRpcV2,hk
com.airwallex.corebanking.proto.wallet.WalletRpc,hk
com.airwallex.hologram.gateway.SafeguardingService,alihk
com.airwallex.pci.tokenmapper.api.v1.TokenMapperService,sg
com.airwallex.pci.tokenmapper.api.v1.TokenMapperService,us
compliance-graphql,alihk
compliance-graphql,sg
creditadviceservice,hk
creditadviceservice,sg
creditadviceservice,unknown
data-mesh-cb-pipeline-service,sg
data-mesh-fp-pipeline-service,sg
data-mesh-fx-pipeline-service,sg
data-mesh-gtpn-pipeline-service,sg
data-mesh-issuing-pipeline-service,sg
data-mesh-pa-pipeline-service,sg
data-mesh-pipeline-service,sg
data-mesh-scale-pipeline-service,sg
data-mesh-sme-pipeline-service,sg
depositservice,hk
depositservice,sg
domains.WorkflowGateway,hk
domains.WorkflowGateway,sg
ecommercedataservice,hk
ecosystemairboardgraphql,sg
ecosystemappservice,hk
ecosystemintegrationplatform,hk
ecosystemintegrationplatform,sg
ecosystemintegrationplatform,unknown
ecosystemintegrationplatform-hk-prod,hk
ecosystemintegrationplatform-hk-prod,sg
ecosystemintegrationplatform-sg-prod,sg
efficiency-uplift,hk
efficiency-uplift,sg
elasticsearch,alihk
elasticsearch,hk
elasticsearch,sg
enrollmentservice,hk
enrollmentservice,sg
etawxocs,hk
etawxocs,sg
etawxocs,unknown
etawxocsamazon,hk
etawxocsebay,hk
etemailer,alihk
etemailer,sg
execution-monitor,unknown
execution-scheduler,unknown
execution-signaler,unknown
expense-categorization-prod,hk
expense-categorization-prod,sg
external-wallet-worker,hk
external-wallet-worker,sg
finance-app-fee-engine,hk
finance-balance-monitor,hk
finance-balance-notification,hk
finance-client-wallet-events,hk
finance-client-wallet-v2,hk
finance-client-wallet-v3,hk
finance-client-wallet-v3,unknown
finance-client-wallet-v3-event-service,hk
finance-core-banking-api-gateway,hk
finance-funding-source-service,hk
finance-lending-service,hk
finance-order-aggregation-service,hk
finance-report-concierge-service,hk
finance-subwallet-management-api,hk
financialtransaction,hk
financialtransaction,nl
financialtransaction,sg
firm-wallet-worker,hk
firm-wallet-worker,sg
firm_wallet.wallet_service_v1.WalletService,hk
firm_wallet.wallet_service_v1.WalletService,sg
fis-query-gateway,sg
fis-query-gateway,unknown
fis_configuration.FisConfigurationAccountService,hk
fis_configuration.FisConfigurationAccountService,sg
fis_configuration.FisConfigurationEntityService,hk
fis_configuration.FisConfigurationEntityService,sg
fis_configuration.FisConfigurationPeriodService,hk
fis_configuration.FisConfigurationPeriodService,sg
fis_configuration.FisConfigurationRateService,hk
fis_configuration.FisConfigurationRateService,sg
fraud-case,hk
fraud-case,nl
fraud-case,sg
fraud-case,us
fraud-detection,hk
fraud-detection,nl
fraud-detection,sg
fraud-detection,unknown
fraud-detection,us
fraud-management,hk
fraud-management,nl
fraud-management,sg
fraud-management,us
fx-event-demux,unknown
fx-event-mux,unknown
gatekeeper.gatekeeper_servicepb.GatekeeperService,sg
gcp-prod-hk-fx-public-api,hk
gcp-prod-hk-mcp-api,hk
gcp-prod-hk-mcp-quote-service,hk
gcp-prod-hk-ref-rates-api,hk
gcp-prod-sg-airstream-api,sg
gcp-prod-sg-airstream-bridge,sg
gcp-prod-sg-billing-center-publisher,sg
gcp-prod-sg-conversion-api,sg
gcp-prod-sg-fx-dashboard-api,sg
gcp-prod-sg-fx-order-graphql-api,sg
gcp-prod-sg-fx-public-api,sg
gcp-prod-sg-gtpn-bridge,sg
gcp-prod-sg-liquidity-planner-api,sg
gcp-prod-sg-mcp-api,sg
gcp-prod-sg-mcp-quote-service,sg
gcp-prod-sg-open-position-api,sg
gcp-prod-sg-order-api,sg
gcp-prod-sg-order-market-monitor,sg
gcp-prod-sg-position-adjustment-api,sg
gcp-prod-sg-position-keeper,sg
gcp-prod-sg-pricing-api,sg
gcp-prod-sg-quote-api,sg
gcp-prod-sg-ref-rates-api,sg
gcp-prod-sg-refinitiv-wsock-adapter,sg
gcp-prod-sg-revenue-control-api,sg
gcp-prod-sg-scb-scale-adapter-v2,sg
gcp-prod-sg-settlement-api,sg
gcp-prod-sg-timeseries-api,sg
gcp-prod-sg-trade-event-transformer,sg
