serviceName,region,label
account-settings-airboard,hk,Service
account-settings-webapp,hk,Service
account-settings-webapp,sg,Service
account.AccountService,hk,Service
account.AccountService,sg,Service
accounting-jobs,hk,Service
accounting-jobs,sg,Service
accounting-oracle,hk,Service
accounting-oracle,sg,Service
accountingservice,hk,Service
accountingservice,sg,Service
accountingservice,unknown,Service
addfundsgraphql,hk,Service
addfundsgraphql,sg,Service
address-service,sg,Service
airboard-fraud-graphql,hk,Service
airboard-fraud-graphql,nl,Service
airboard-fraud-graphql,sg,Service
airboard-fraud-graphql,us,Service
airboard-ng-kyc-service,hk,Service
airboard-ng-kyc-service,sg,Service
airboard-ng-kyc-service,unknown,Service
airboard-ng-panopticon-graphql,hk,Service
airboard-ng-panopticon-graphql,sg,Service
airboard-ng-rfi-service,hk,Service
airboard-ng-rfi-service,sg,Service
airboard-ng-scale-service,hk,Service
airboard-ng-scale-service,unknown,Service
airboard-ng-workflow-service,hk,Service
airboard-risk-postmonitoring-graphql,hk,Service
airboard-risk-postmonitoring-graphql,sg,Service
airboard-rule-graphql,hk,Service
airboardng-api,alihk,Service
airboardng-api,sg,Service
airwallex-airboard-ng-auth-graphql-server,hk,Service
airwallex-airboard-ng-auth-graphql-server,sg,Service
airwallex-compliance-tm-manager,alihk,Service
airwallex-compliance-tm-manager,hk,Service
airwallex-compliance-tm-manager,sg,Service
airwallex-corpsite-cn-prod,hk,Service
airwallex-corpsite-prod,hk,Service
airwallex-corpsite-prod,sg,Service
airwallex-developer-site,hk,Service
airwallex-fileservice,alihk,Service
airwallex-fileservice,sg,Service
airwallex-product-docs,hk,Service
airwallex-tm-case-management,alihk,Service
airwallex-tm-case-management,sg,Service
airwallexpayclearing,sg,Service
airwallexpaygraphql,hk,Service
airwallexpayservice,hk,Service
airwallexpayservice,sg,Service
ali-prod-hk-airstream-api,hk,Service
ali-prod-hk-billing-center-publisher,hk,Service
ali-prod-hk-conversion-api,hk,Service
ali-prod-hk-conversion-monitor,hk,Service
ali-prod-hk-conversion-processor,hk,Service
ali-prod-hk-fx-dashboard-api,hk,Service
ali-prod-hk-fx-order-graphql-api,hk,Service
ali-prod-hk-gtpn-bridge,hk,Service
ali-prod-hk-notification-engine,hk,Service
ali-prod-hk-open-position-api,hk,Service
ali-prod-hk-order-api,hk,Service
ali-prod-hk-order-notifier,hk,Service
ali-prod-hk-order-processor,hk,Service
ali-prod-hk-order-triggerer,hk,Service
ali-prod-hk-pricing-api,hk,Service
ali-prod-hk-quote-api,hk,Service
ali-prod-hk-settlement-api,hk,Service
ali-prod-hk-timeseries-api,hk,Service
ali-prod-hk-trading-api,hk,Service
ali-prod-hk-wallet-event-listener,hk,Service
ali-prod-tk-airstream-api,tk,Service
ali-prod-tk-airstream-bridge,tk,Service
ali-prod-tk-apm-spot-price-aggregator,tk,Service
ali-prod-tk-apm-spot-price-calculator,tk,Service
ali-prod-tk-entrepot-blotter-stream,tk,Service
ali-prod-tk-entrepot-keeper,tk,Service
ali-prod-tk-execution-monitor,tk,Service
ali-prod-tk-execution-signaler,tk,Service
ali-prod-tk-fx-dashboard-api,tk,Service
ali-prod-tk-fx-event-demux,tk,Service
ali-prod-tk-fx-trading-event-purifier,tk,Service
ali-prod-tk-hedger,tk,Service
ali-prod-tk-jsb-ct-adapter,tk,Service
ali-prod-tk-ledger-feed,tk,Service
ali-prod-tk-liquidity-engine,tk,Service
ali-prod-tk-lp-price-publisher,tk,Service
ali-prod-tk-notification-engine,tk,Service
ali-prod-tk-position-adjustment-api,tk,Service
ali-prod-tk-position-adjustment-generator,tk,Service
ali-prod-tk-position-keeper,tk,Service
ali-prod-tk-position-reconciliation-service,tk,Service
ali-prod-tk-price-event-service,tk,Service
ali-prod-tk-price-monitor,tk,Service
ali-prod-tk-pricing-api,tk,Service
ali-prod-tk-pricing-engine,tk,Service
ali-prod-tk-quote-api,tk,Service
ali-prod-tk-ref-rates-feed,tk,Service
ali-prod-tk-ref-rates-feed-eu,tk,Service
ali-prod-tk-risk-monitor,tk,Service
ali-prod-tk-risk-order-api,tk,Service
ali-prod-tk-timeseries-api,tk,Service
ali-prod-tk-trade-event-service,tk,Service
ali-prod-tk-trade-event-transformer,tk,Service
ali-prod-tk-trading-api,tk,Service
ali-prod-tk-visa-fx-adapter,tk,Service
amazonpaymentproviderservice,hk,Service
amazonpsppenrollment,hk,Service
amazonpsppenrollment,sg,Service
api-integrations-prod,hk,Service
api-integrations-prod,sg,Service
apiaggregator,hk,Service
app-billing,hk,Service
app-billing,sg,Service
app-billing-api,hk,Service
app-billing-api,sg,Service
app-credit-validation-service,hk,Service
app-internal-treasury,sg,Service
app-liquidity-forecast,sg,Service
app-midas-api,hk,Service
app-midas-api,sg,Service
app-midas4awx-api,hk,Service
app-midas4awx-api,sg,Service
app-mirror,sg,Service
app-ocr-service,hk,Service
app-ocr-service,sg,Service
app-proteus,sg,Service
app-reconciliation,alihk,Service
app-reconciliation,sg,Service
appairboardapiservice,hk,Service
appairboardapiservice,sg,Service
appbankaccountverificationservice,hk,Service
appbankaccountverificationservice,sg,Service
appbatchpaymentservice,hk,Service
appbatchpaymentservice,sg,Service
appclientapiservice,hk,Service
appclientapiservice,sg,Service
appdirectdebitservice,hk,Service
appdirectdebitservice,sg,Service
appdraftpaymentservice,hk,Service
appdraftpaymentservice,sg,Service
appmhtreasuryservice,hk,Service
appmhtreasuryservice,sg,Service
appplatformservice,hk,Service
appplatformservice,sg,Service
apprefdataservice,hk,Service
approval-service,hk,Service
approval-service,sg,Service
approval.execution.v1.ApprovalExecutionService,hk,Service
approval.execution.v1.ApprovalExecutionService,sg,Service
approval.management.v1.ApprovalWorkflowConfigService,hk,Service
approval.management.v1.ApprovalWorkflowConfigService,sg,Service
approval.usertask.v1.ApprovalUserTaskService,hk,Service
approval.usertask.v1.ApprovalUserTaskService,sg,Service
apptencentrecon,alihk,Service
apptransactionservice,hk,Service
apptransactionservice,sg,Service
appvalidationservice,sg,Service
appwebappapiservice,hk,Service
appwebappapiservice,sg,Service
audienceservice,hk,Service
audienceservice,sg,Service
audit-log-service,hk,Service
audit-log-service,sg,Service
auth-api,hk,Service
auth-api,sg,Service
authorisation-service,hk,Service
authorisation-service,sg,Service
awx-account-service,alihk,Service
awx-account-service,nl,Service
awx-account-service,sg,Service
awx-account-service,unknown,Service
awx-account-service,us,Service
awx-account-service-local,alihk,Service
awx-account-service-local,sg,Service
awx-account-service-ro,alihk,Service
awx-account-service-ro,unknown,Service
awx-account-service-ro-local,alihk,Service
awx-account-service-ro-local,unknown,Service
awx-account-service-rw,sg,Service
awx-account-service-sg-ro,nl,Service
awx-account-service-sg-ro,sg,Service
awx-account-service-sg-ro,us,Service
awx-configuration-service,hk,Service
awx-configuration-service,nl,Service
awx-configuration-service,sg,Service
awx-configuration-service,us,Service
awx-hosted-flow,hk,Service
awx-panopticon,hk,Service
awx-panopticon,sg,Service
awx-panopticon-shadow,hk,Service
awx-panopticon-shadow,sg,Service
awxocsauth,hk,Service
awxocsjob,hk,Service
awxocsjob,sg,Service
bankaccountvalidationservice,hk,Service
bankaccountvalidationservice,sg,Service
bankfeedsintegration,hk,Service
bankfeedsintegration,sg,Service
batchtransfersgraphql,hk,Service
batchtransfersgraphql,sg,Service
bill-pay-service-prod,hk,Service
bill-pay-service-prod,sg,Service
business-information-vendor-adaptor,hk,Service
business-information-vendor-adaptor,sg,Service
campaignservice,hk,Service
campaignservice,sg,Service
clearing-settlement-worker,hk,Service
clearing-settlement-worker,sg,Service
clientvbaservice,hk,Service
clientvbaservice,sg,Service
com.airwallex.corebanking.financialtransaction.grpc.FinancialTransactionRpc,hk,Service
com.airwallex.corebanking.grpc.deposit.CoreBankingDepositRpc,hk,Service
com.airwallex.corebanking.grpc.financialtransaction.rpc.FinancialTransactionRpcV2,hk,Service
com.airwallex.corebanking.proto.wallet.WalletRpc,hk,Service
com.airwallex.hologram.gateway.SafeguardingService,alihk,Service
com.airwallex.pci.tokenmapper.api.v1.TokenMapperService,sg,Service
com.airwallex.pci.tokenmapper.api.v1.TokenMapperService,us,Service
compliance-graphql,alihk,Service
compliance-graphql,sg,Service
creditadviceservice,hk,Service
creditadviceservice,sg,Service
creditadviceservice,unknown,Service
data-mesh-cb-pipeline-service,sg,Service
data-mesh-fp-pipeline-service,sg,Service
data-mesh-fx-pipeline-service,sg,Service
data-mesh-gtpn-pipeline-service,sg,Service
data-mesh-issuing-pipeline-service,sg,Service
data-mesh-pa-pipeline-service,sg,Service
data-mesh-pipeline-service,sg,Service
data-mesh-scale-pipeline-service,sg,Service
data-mesh-sme-pipeline-service,sg,Service
depositservice,hk,Service
depositservice,sg,Service
domains.WorkflowGateway,hk,Service
domains.WorkflowGateway,sg,Service
ecommercedataservice,hk,Service
ecosystemairboardgraphql,sg,Service
ecosystemappservice,hk,Service
ecosystemintegrationplatform,hk,Service
ecosystemintegrationplatform,sg,Service
ecosystemintegrationplatform,unknown,Service
